Field1,Field2_text,Field2_links,Field3,Field4,Field5
9,EOS,https://coinmarketcap.com/currencies/eos/,EOS,"$6,550,932,182.55",$10.21
10,NEM,https://coinmarketcap.com/currencies/nem/,XEM,"$5,564,381,002.76",$0.62
11,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,"$5,300,125,065.36",$1.91
12,Dash,https://coinmarketcap.com/currencies/dash/,DASH,"$4,846,122,586.34",$617.04
13,Monero,https://coinmarketcap.com/currencies/monero/,XMR,"$3,776,619,857.80",$240.96
14,TRON,https://coinmarketcap.com/currencies/tron/,TRX,"$3,039,368,678.97",$0.05
15,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,"$2,635,312,181.32",$35.68
16,Lisk,https://coinmarketcap.com/currencies/lisk/,LSK,"$2,627,942,420.29",$22.34
17,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,"$2,485,810,788.23",$24.97
18,Vechain [Token],https://coinmarketcap.com/currencies/vechainold/,VEN,"$2,466,687,312.55",$5.27
19,Populous,https://coinmarketcap.com/currencies/populous/,PPT,"$2,326,763,280.30",$62.88
20,ICON,https://coinmarketcap.com/currencies/icon/,ICX,"$2,322,882,700.00",$6.09
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,"$185,009,522,097.90","$10,950.99"
